event_id,timestamp,icao,tail,phase,sla_min,actual_min,status
T11,2026-05-20T08:00:00Z,OMDB,P4-BFX,arrival,30,28,missed
T12,2026-05-21T09:00:00Z,OMDB,9H-TOP,passenger_transfer,40,40,met
T13,2026-05-22T10:00:00Z,OMDB,D-BAVG,fueling,50,52,met
T14,2026-05-23T11:00:00Z,OMDB,P4-BFR,catering,60,64,met
T15,2026-05-24T12:00:00Z,OMDB,P4-BFX,permits,70,76,missed
T16,2026-05-25T13:00:00Z,OMDB,9H-TOP,departure,80,88,met
T21,2026-05-20T08:00:00Z,OMDW,P4-BFX,arrival,30,29,missed
T22,2026-05-21T09:00:00Z,OMDW,9H-TOP,passenger_transfer,40,41,met
T23,2026-05-22T10:00:00Z,OMDW,D-BAVG,fueling,50,53,met
T24,2026-05-23T11:00:00Z,OMDW,P4-BFR,catering,60,65,met
T25,2026-05-24T12:00:00Z,OMDW,P4-BFX,permits,70,77,missed
T26,2026-05-25T13:00:00Z,OMDW,9H-TOP,departure,80,89,met
T31,2026-05-20T08:00:00Z,OMAA,P4-BFX,arrival,30,30,missed
T32,2026-05-21T09:00:00Z,OMAA,9H-TOP,passenger_transfer,40,42,met
T33,2026-05-22T10:00:00Z,OMAA,D-BAVG,fueling,50,54,met
T34,2026-05-23T11:00:00Z,OMAA,P4-BFR,catering,60,66,met
T35,2026-05-24T12:00:00Z,OMAA,P4-BFX,permits,70,78,missed
T36,2026-05-25T13:00:00Z,OMAA,9H-TOP,departure,80,90,met
T41,2026-05-20T08:00:00Z,LFPB,P4-BFX,arrival,30,28,missed
T42,2026-05-21T09:00:00Z,LFPB,9H-TOP,passenger_transfer,40,40,met
T43,2026-05-22T10:00:00Z,LFPB,D-BAVG,fueling,50,52,met
T44,2026-05-23T11:00:00Z,LFPB,P4-BFR,catering,60,64,met
T45,2026-05-24T12:00:00Z,LFPB,P4-BFX,permits,70,76,missed
T46,2026-05-25T13:00:00Z,LFPB,9H-TOP,departure,80,88,met
T51,2026-05-20T08:00:00Z,EGKB,P4-BFX,arrival,30,29,missed
T52,2026-05-21T09:00:00Z,EGKB,9H-TOP,passenger_transfer,40,41,met
T53,2026-05-22T10:00:00Z,EGKB,D-BAVG,fueling,50,53,met
T54,2026-05-23T11:00:00Z,EGKB,P4-BFR,catering,60,65,met
T55,2026-05-24T12:00:00Z,EGKB,P4-BFX,permits,70,77,missed
T56,2026-05-25T13:00:00Z,EGKB,9H-TOP,departure,80,89,met
T61,2026-05-20T08:00:00Z,LIRA,P4-BFX,arrival,30,30,missed
T62,2026-05-21T09:00:00Z,LIRA,9H-TOP,passenger_transfer,40,42,met
T63,2026-05-22T10:00:00Z,LIRA,D-BAVG,fueling,50,54,met
T64,2026-05-23T11:00:00Z,LIRA,P4-BFR,catering,60,66,met
T65,2026-05-24T12:00:00Z,LIRA,P4-BFX,permits,70,78,missed
T66,2026-05-25T13:00:00Z,LIRA,9H-TOP,departure,80,90,met
T71,2026-05-20T08:00:00Z,KMIA,P4-BFX,arrival,30,28,missed
T72,2026-05-21T09:00:00Z,KMIA,9H-TOP,passenger_transfer,40,40,met
T73,2026-05-22T10:00:00Z,KMIA,D-BAVG,fueling,50,52,met
T74,2026-05-23T11:00:00Z,KMIA,P4-BFR,catering,60,64,met
T75,2026-05-24T12:00:00Z,KMIA,P4-BFX,permits,70,76,missed
T76,2026-05-25T13:00:00Z,KMIA,9H-TOP,departure,80,88,met
T81,2026-05-20T08:00:00Z,RJTT,P4-BFX,arrival,30,29,missed
T82,2026-05-21T09:00:00Z,RJTT,9H-TOP,passenger_transfer,40,41,met
T83,2026-05-22T10:00:00Z,RJTT,D-BAVG,fueling,50,53,met
T84,2026-05-23T11:00:00Z,RJTT,P4-BFR,catering,60,65,met
T85,2026-05-24T12:00:00Z,RJTT,P4-BFX,permits,70,77,missed
T86,2026-05-25T13:00:00Z,RJTT,9H-TOP,departure,80,89,met
